               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.024509,           0.0040089,                   0,             0.98145,             0.98636,             0.98866,              0.6788,            0.020888,            0.003043,                   0,            0.070002,           0.0033332,           0.0033332
                   1,            0.025125,           0.0040494,                   0,             0.98398,              0.9872,             0.99082,             0.68558,            0.020567,           0.0030091,                   0,            0.036702,           0.0033666,           0.0033666
