               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026837,            0.004772,                   0,             0.99186,             0.98321,             0.98607,             0.61359,            0.026608,           0.0036455,                   0,            0.070002,           0.0033332,           0.0033332
                   1,            0.028298,           0.0048679,                   0,             0.99361,             0.98532,             0.98809,             0.62376,            0.025912,           0.0035693,                   0,            0.036702,           0.0033666,           0.0033666
